
       instance   k    n     m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit  do_exact   ss  chroma_k_early  chroma_k  crit  edges  num_perturb  repl     time  time_confirm  time_color  calls_to_coloring  heu_mistakes  avg_perturb_str      ttb  itb  num_flips  num_bt  infeas  seed
 rand-50-0.05-4   4   50   120            0.5                1                1               1800         0   20               0         1     1     39          126     0     1800     0.0236036     1799.94               7938             0            0.912  303.078   21       7823       0       0     7
 rand-50-0.05-4   4   50   120            0.5                1                1               1800         0   20               0         1     1     39          122     0     1800     0.0234859     1799.94               7775             0         0.983471  267.064   19       7626       0       0     8
 rand-50-0.05-4   4   50   120            0.5                1                1               1800         0   20               0         1     1     39          124     0     1800     0.0319446     1799.94               7767             0                1  633.164   43       7639       0       0     9
 rand-50-0.05-4   4   50   120            0.5                1                1               1800         0   20               0         1     1     39          123     0     1800     0.0339408     1799.93               7800             0         0.967213  327.588   22       7647       0       0    10
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800    0.00974847     1799.97               7232             0                1  22.5032    1       7076       0       0     1
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800    0.00990549     1799.97               7232             0                1   22.503    1       7076       0       0     2
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800     0.0102472     1799.97               7232             0                1  22.5031    1       7076       0       0     3
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800    0.00988523     1799.97               7232             0                1  22.5027    1       7076       0       0     4
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800    0.00991197     1799.97               7232             0                1  22.5031    1       7076       0       0     5
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800    0.00983891     1799.97               7232             0                1  22.5029    1       7076       0       0     6
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800     0.0108561     1799.97               7232             0                1   22.503    1       7076       0       0     7
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800     0.0115889     1799.97               7232             0                1   22.503    1       7076       0       0     8
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800    0.00887496     1799.97               7232             0                1  22.5028    1       7076       0       0     9
 rand-50-0.05-5   3   50    61            0.5                1                1               1800         0    5               0         1     1      5           77     0     1800    0.00875284     1799.97               7232             0                1  22.5036    1       7076       0       0    10
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          107     0     1800     0.0239544     1799.95               7428             0         0.971698  20.5048    1       7347       0       0     1
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          111     0     1800      0.023687     1799.95               7456             0         0.863636  20.5038    1       7387       0       0     2
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          108     0     1800     0.0149475     1799.96               7449             0          1.04673  20.5038    1       7370       0       0     3
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          101     0     1800      0.014736     1799.96               7373             0             1.02  20.5039    1       7248       0       0     4
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          112     0     1800     0.0248316     1799.95               7491             0          1.01802  20.5043    1       7395       0       0     5
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          106     0     1800     0.0249176     1799.95               7436             0          1.05714  20.5039    1       7295       0       0     6
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          109     0     1800     0.0149183     1799.96               7452             0         0.953704  20.5046    1       7339       0       0     7
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          106     0     1800     0.0146828     1799.96               7427             0           1.0381  20.5042    1       7327       0       0     8
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          110     0     1800     0.0255081     1799.95               7464             0                1  20.5041    1       7393       0       0     9
  rand-50-0.1-1   4   50   122            0.5                1                1               1800         0   12               0         1     1     21          105     0     1800     0.0256146     1799.95               7417             0                1  20.5042    1       7278       0       0    10
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          100     0     1800      0.013981     1799.96               7347             0           1.0404  20.0045    1       7196       0       0     1
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          101     0     1800     0.0138019     1799.96               7341             0             0.99  20.0056    1       7262       0       0     2
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          102     0     1800     0.0226672     1799.95               7363             0          1.11881  20.0048    1       7292       0       0     3
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          106     0     1800     0.0228645     1799.95               7381             0          1.01905  20.0057    1       7316       0       0     4
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          103     0     1800     0.0139872     1799.96               7348             0         0.921569  20.0057    1       7268       0       0     5
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          106     0     1800     0.0137934     1799.96               7374             0         0.952381   20.006    1       7295       0       0     6
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          103     0     1800     0.0223769     1799.95               7363             0          1.02941  20.0049    1       7256       0       0     7
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          100     0     1800     0.0223867     1799.95               7347             0          1.05051  20.0041    1       7197       0       0     8
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30          105     0     1800     0.0139557     1799.96               7363             0         0.942308   20.006    1       7299       0       0     9
  rand-50-0.1-2   5   50   234            0.5                1                1               1800         0   11               0         1     1     30           99     0     1800     0.0138712     1799.96               7330             0         0.989796   20.005    1       7188       0       0    10
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          106     0     1800     0.0264289     1799.93               7420             0          1.07619  21.0192    1       7328       0       0     1
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          103     0     1800     0.0266151     1799.93               7395             0          1.10784  21.0165    1       7244       0       0     2
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          107     0     1800     0.0158737     1799.95               7415             0         0.962264  21.0071    1       7334       0       0     3
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          111     0     1800     0.0167223     1799.95               7465             0         0.981818  21.0077    1       7403       0       0     4
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          106     0     1800     0.0267481     1799.94               7411             0         0.990476  21.0065    1       7301       0       0     5
  rand-50-0.1-3   5   50   238            0.5                1                1               1800         0   13               0         1     1     37          111     0     1800     0.0267697     1799.94               7461             0         0.954545  21.0072    1       7392       0       0     6
