       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit   edges         time     time_pp  time_confirm_crit    time_color  iter      ttb   itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          60               1         1           1     1     144         1800     408.828           2.02e-07       289.251  1174  11.7374     1              1    0.109451    0.210493           57          2360             0    1173         28.6411         5.05627             396492           332495       0             3             0     3
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          60               1         1           1     1     144         1800      406.81           3.23e-07        288.57  1171  8.00777     1              1    0.109166    0.209573           57          2356             0    1170         28.5419         5.09316             396270           332586       0             3             0     4
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          59               1         1           1     1     144         1800     410.821           6.26e-07       290.373  1179  10.5907     1              1    0.110091    0.211862           57          2370             0    1178         28.6817         5.07131             396292           331989       0             3             0     5
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          58               1         1           1     1     144         1800     408.613           6.15e-07       289.901  1174  9.64908     1              1    0.109547    0.210681           57          2357             0    1173         28.6462         5.07843             396233           332251       0             3             0     6
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          60               1         1           1     1     144         1800     406.229            5.6e-07       288.519  1170  8.78367     1              1    0.108952    0.209484           57          2353             0    1169         28.6202         5.08811             396523           332799       0             3             0     7
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          60               1         1           1     1     144         1800     411.185           3.01e-07       291.113  1172  11.1706     1              1    0.110203     0.21202           57          2356             0    1171         28.6678         5.08369             393601           329709       0             3             0     8
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          59               1         1           1     1     144         1800     489.335           5.77e-07        438.12  1934  10.5764     1              1    0.109507    0.210499           57          3879             0    1933         28.6058         5.07553             652898           547517       0             3             0     9
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1               1800  200        1.08       1    31         282          60               1         1           1     1     144         1800      490.45           3.93e-07       438.925  1927  11.3808     1              1    0.109318    0.210231           58          3866             0    1926         28.6303         5.06231             651499           546432       0             3             0    10
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232       25.234           0            1.95222       14.9899     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     1
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232      22.1631           0            2.30077        11.923     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     2
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232      18.0249           0            2.96637       9.45233     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     3
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232      20.0944           0            2.25085       11.5075     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     4
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232      19.5568           0            3.81306       11.6078     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     5
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232      16.9178           0            1.81458       9.00296     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     6
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232       16.483           0           0.821191       7.10639     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     7
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232      18.3398           0            3.12134       8.71415     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     8
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232       20.751           0            1.27493       13.0169     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0     9
 1-Insertions_4    5     67      232     67      232            0.5                1                1               1800  200        1.08       1    67          67          67               1         1           0     1     232      15.5302           0            2.26202       7.71936     1        0     0              0           0           0           67            11             0       0              NA              NA               2200             2200       0             2             0    10
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   194         202         196               0         0           1     1    1186         1800     381.184               1800       1630.72   924   45.354    15             10    0.709839    0.709973          194          1862             0     923       0.0368364         5.11484             430701           254752       0             2             0     1
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   194         202         196               0         0           1     1    1186         1800      375.06               1800       1629.15   933  46.9978    16             12    0.710387    0.710457          194          1880             0     932       0.0193133         5.08262             434686           257019       0             2             0     2
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   194         202         196               0         0           1     1    1186         1800     377.241               1800        1633.5   923  102.577    45             38    0.705451    0.705537          194          1860             0     922       0.0238612         5.09978             431732           256008       0             2             0     3
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   194         202         197               0         0           1     1    1186         1800     380.385               1800       1632.17   924  89.5184    41             39    0.700391    0.700507          194          1863             0     923       0.0325027         5.11376             433944           258076       0             2             0     4
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   193         202         196               0         0           1     1    1180         1800     380.103               1800       1632.52   923  911.187   461            374    0.699668    0.699765          193          1861             0     922        0.027115         5.08134             433694           258021       0             2             0     5
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   193         202         196               0         0           1     1    1180         1800     382.962               1800       1632.43   935  599.871   306            263    0.716232    0.716318          193          1886             0     934       0.0235546         5.11777             433428           255381       0             2             0     6
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   194         202         196               0         0           1     1    1186         1800     377.898               1800       1632.35   923  94.6188    42             40    0.701774    0.701879          194          1860             0     922       0.0292842         5.13883             432955           257298       0             2             0     7
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   193         202         196               0         0           1     1    1180         1800     379.836               1800       1632.43   927  1591.74   816            671    0.708131    0.708232          193          1870             0     926       0.0280778         5.10367             432629           256142       0             2             0     8
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   193         202         196               0         0           1     1    1180         1800     381.871               1800       1632.73   932  1687.31   869            826    0.713512    0.713614          193          1879             0     931        0.027927         5.08593             433007           255564       0             2             0     9
 1-Insertions_5    6    202     1227    202     1227            0.5                1                1               1800  200        1.08       1   193         202         196               0         0           1     1    1180         1800     382.538               1800       1632.98   931  113.332    53             49    0.712166    0.712284          193          1877             0     930       0.0322581         5.13226             432951           255752       0             2             0    10
 1-Insertions_6    7    607     6337    607     6337            0.5                1                1               1800  200        1.08       1   579         607         581               0         0           1     1    6141         1800     988.433               1800       1539.56    91  1337.65    65             57     1.73771     1.73854          579           220             0      90        0.277778         4.61111              81833            30135       0             2             0     1
