
       instance   k  n_red   m_red     n       m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time  time_pp  time_confirm_crit  time_color  iter      ttb  itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
      DSJC250.1   7    250    3218   250    3218            0.5                1                1               7200  200        1.08       1  104         250         106               0         0           1     1    852     7200  3457.52            637.737      7028.5   490  5269.23  357            279    0.371784    0.376253          104           998             0     489         1.26585               0             190527           138516       0             4             0     3
      DSJC250.1   7    250    3218   250    3218            0.5                1                1               7200  200        1.08       1  105         250         107               0         0           1     1    870     7200  3411.65            200.576     7026.85   492  264.843   16             10    0.370322    0.374414          104          1003             0     491         1.16497               0             192021           139789       0             4             0     4
      DSJC250.1   7    250    3218   250    3218            0.5                1                1               7200  200        1.08       1  105         250         106               0         0           1     1    858     7200  3433.24             60.465     7032.12   499   1765.4  120            103    0.381476    0.385681          105          1016             0     498         1.16265               0             190682           137668       0             4             0     5
      DSJC250.1   7    250    3218   250    3218            0.5                1                1               7200  200        1.08       1  105         250         107               0         0           1     1    865     7200  3437.65            20.0146     7035.08   488  602.732   37             23    0.376372    0.380986          105           996             0     487         1.29158               0             188192           136349       0             4             0     6
      DSJC250.1   7    250    3218   250    3218            0.5                1                1               7200  200        1.08       1  105         250         106               0         0           1     1    863     7200  3458.84            102.545     7028.85   505  1185.42   79             78    0.377575    0.381848          104          1026             0     504         1.19246               0             194231           140637       0             4             0     7
      DSJC250.1   7    250    3218   250    3218            0.5                1                1               7200  200        1.08       1  104         250         106               0         0           1     1    856     7200  3496.94            640.417      7029.3   498  4216.85  293            279     0.37371    0.378183          104          1013             0     497         1.25956               0             192799           139964       0             4             0     8
      DSJC250.1   7    250    3218   250    3218            0.5                1                1               7200  200        1.08       1  104         250         107               0         0           1     1    854     7200  3534.72            1352.83      7031.9   495  2665.54  181            171    0.377044    0.381171          104          1009             0     494         1.15385               0             190701           138106       0             4             0     9
      DSJC250.1   7    250    3218   250    3218            0.5                1                1               7200  200        1.08       1  104         250         107               0         0           1     1    853     7200  3477.05            205.438     7021.16   492  6544.16  443            422    0.372406    0.376588          104          1004             0     491          1.1833               0             191165           138913       0             4             0    10
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  228         900         231               0         0           1     1  24371  7200.01  5146.22               7200     6201.41   288   1539.8   60             51    0.775278    0.786253          227           604             0     287           3.223         27.4495             142652            84282       0            90             0     1
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  229         900         230               0         0           1     1  24602     7200  5157.51               7200     6196.09   287   2944.9  113             87    0.771898    0.782266          228           597             0     286         3.05944          27.014             142486            84392       0            90             0     2
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  229         900         230               0         0           1     1  24578  7200.01  5168.25               7200     6211.51   292  1702.12   65             49    0.790755    0.801563          228           611             0     291          3.1134         27.7388             142845            83830       0            90             0     3
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  228         900         231               0         0           1     1  24295     7200   5250.8               7200      6241.9   281  2233.38   86             42    0.784531    0.796048          227           587             0     280         3.33929         26.6857             138175            81181       0            90             0     4
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  229         900         231               0         0           1     1  24567  7200.01  5124.55               7200     6204.06   288   1523.5   58             53    0.777547     0.78781          228           601             0     287         3.01045         28.0418             142225            84184       0            90             0     5
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  229         900         232               0         0           1     1  24602  7200.01   5194.6               7200     6221.15   283  1287.72   47             45    0.780662    0.791824          228           593             0     282         3.25532         27.0319             139704            82243       0            90             0     6
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  229         900         229               0         0           1     1  24541     7200  5160.77               7200     6209.55   285  1136.22   43             32    0.781341    0.793136          228           594             0     284         3.43662         27.5282             140514            82750       0            90             0     7
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  229         900         234               0         0           1     1  24512  7200.01  5128.89               7200     6193.83   293  1328.99   52             36    0.785364    0.795665          226           612             0     292         2.98973         27.3048             144065            84748       0            90             0     8
latin_square_10  91    900  307350   900  307350            0.5                1                1               7200  200        1.08       1  228         900         234               0         0           1     1  24365  7200.01  5190.16               7200     6217.78   285  3141.11  123            110    0.782278    0.793203          228           597             0     284         3.17958         27.5106             140191            82656       0            90             0     9
