
       instance   k  n_red  m_red    n     m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time     time_pp  time_confirm_crit  time_color  iter      ttb   itb  max_iter_diff   ss_fin_avg   ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.311           5.03e-07      60.799  1553  7.53499     1              1     0.072341    0.0758548           18          3111             0    1552        0.874356         3.45747             410094           386185       0             3             0     3
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.972           4.91e-07     60.4581  1577  7.36639     1              1    0.0728514    0.0763696           18          3159             0    1576        0.869289         3.45939             413677           389409       0             3             0     4
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          18               1         1           1     1     36     1800     111.045           3.37e-07      61.817  1551  6.90944     1              1     0.072356    0.0758257           18          3105             0    1550        0.863226         3.48581             409438           385621       0             3             0     5
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     110.228          1.623e-06     60.6107  1548  7.62233     1              1    0.0716368    0.0750606           18          3100             0    1547        0.860375         3.45572             412552           388739       0             3             0     6
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          18               1         1           1     1     36     1800     111.524           7.04e-07     59.9604  1567  7.16416     1              1     0.072558      0.07602           18          3138             0    1566        0.858876         3.45275             412611           388503       0             3             0     7
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     110.997            8.2e-07     60.8177  1559  7.53872     1              1    0.0721859    0.0756452           18          3123             0    1558        0.862644         3.46534             412482           388511       0             3             0     8
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.478          1.472e-06     60.5135  1566   7.4796     1              1    0.0724904    0.0759926           18          3137             0    1565        0.869649         3.46134             412713           388617       0             3             0     9
 rand-50-0.05-3   4     47    113   50   117            0.5                1                1               1800  200        1.08       1   18          47          19               1         1           1     1     36     1800     111.617          1.219e-06     60.6988  1560  7.38092     1              1    0.0726781    0.0761768           18          3124             0    1559        0.866581         3.48044             410110           386141       0             3             0    10
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          20               1         1           1     1     37     1800     114.426           4.72e-07     66.1078  1402  617.651   476            475    0.0726617    0.0752778           20          2810             0    1401          0.7202         3.03141             410444           385678       0             3             0     1
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          20               1         1           1     1     37     1800     114.266           5.96e-07     65.7131  1410   199.98   153            152    0.0727084    0.0754067           20          2825             0    1409         0.74237         3.10859             412489           387658       0             3             0     2
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          21               1         1           1     1     36     1800     114.288          1.417e-06     64.6282  1402  283.005   213            212    0.0725981    0.0752212           20          2810             0    1401        0.723055         3.06424             410916           386181       0             3             0     3
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          20               1         1           1     1     37     1800     113.708          1.141e-06     65.3043  1405  275.017   213            212    0.0725067    0.0752137           20          2814             0    1404        0.747151         3.16311             412199           387509       0             3             0     4
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          20               1         1           1     1     36     1800     112.287           5.15e-07     65.1475  1394  92.1613    68             67    0.0719715    0.0744735           20          2793             0    1393        0.695621         3.21034             411642           387292       0             3             0     5
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          20               1         1           1     1     37     1800     114.414           5.51e-07     64.8096  1402    412.5   318            317     0.072863    0.0756096           20          2808             0    1400        0.754286         3.13214             409139           384475       0             3             0     6
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          21               1         1           1     1     37     1800      114.78          1.506e-06     65.0777  1413  245.663   190            189    0.0730162     0.075779           20          2833             0    1412        0.757082         3.12394             411818           386928       0             3             0     7
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          20               1         1           1     1     37     1800      114.41           9.36e-07     65.2965  1398  673.849   521            520    0.0727753    0.0754569           20          2801             0    1397        0.737294         3.09091             408744           384100       0             3             0     8
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          20               1         1           1     1     37     1800     112.025           6.85e-07     64.9566  1388  871.047   671            670     0.071605    0.0742087           20          2782             0    1387        0.727469         3.19755             411817           387515       0             3             0     9
 rand-50-0.05-4   4     41    104   50   120            0.5                1                1               1800  200        1.08       1   19          41          21               1         1           1     1     37     1800     114.096           4.92e-07     64.9074  1413  31.0562    21             20    0.0729071    0.0755527           20          2833             0    1412        0.725921         3.17847             412210           387438       0             3             0    10
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.76031   0.0111517          1.202e-06   0.0425851     1   3.7603     1              1    0.0124069    0.0124069            5             3             0       1               0               3                405              403       0             2             0     1
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.75299   0.0130323          1.256e-06   0.0413179     1  3.75298     1              1    0.0124069    0.0124069            5             3             0       1               0               3                405              403       0             2             0     2
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.76382  0.00784685           9.56e-07   0.0414078     1  3.76381     1              1    0.0123457    0.0123457            5             3             0       1               0               3                407              405       0             2             0     3
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.76689  0.00377863           8.49e-07   0.0417769     1  3.76689     1              1    0.0121951    0.0121951            5             3             0       1               0               3                412              410       0             2             0     4
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.77331  0.00896164           1.28e-06   0.0423063     1  3.77331     1              1    0.0121359    0.0121359            5             3             0       1               0               3                414              412       0             2             0     5
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.75918   0.0130874          1.037e-06   0.0422013     1  3.75917     1              1    0.0124378    0.0124378            5             3             0       1               0               3                404              402       0             2             0     6
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.75707   0.0116629          1.043e-06   0.0418571     1  3.75706     1              1    0.0124069    0.0124069            5             3             0       1               0               3                405              403       0             2             0     7
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.76263  0.00433602           6.21e-07   0.0425493     1  3.76263     1              1    0.0123153    0.0123153            5             3             0       1               0               3                408              406       0             2             0     8
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5   3.7305   0.0129958            1.6e-06   0.0403038     1  3.73049     1              1    0.0124378    0.0124378            5             3             0       1               0               3                404              402       0             2             0     9
 rand-50-0.05-5   3     32     43   50    61            0.5                1                1               1800  200        1.08       1    5          32           5               1         1           1     1      5  3.75097   0.0103862          1.052e-06   0.0412317     1  3.75096     1              1    0.0123762    0.0123762            5             3             0       1               0               3                406              404       0             2             0    10
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          13               1         1           1     1     21     1800     61.1795          1.447e-06     51.5125  1498  5.09777     1              1     0.043874     0.046064           12          2966             0    1463        0.599453         3.97881             413078           400465       0             3             0     1
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          13               1         1           1     1     21     1800     60.9226           8.32e-07      53.202  1485  5.04944     1              1     0.043749    0.0458872           12          2940             0    1450        0.586897         3.97241             410488           397998       0             3             0     2
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          13               1         1           1     1     21     1800     60.3655          1.367e-06      52.572  1480  6.70854     1              1    0.0434457    0.0455542           12          2936             0    1450        0.582759         3.99103             413210           400753       0             3             0     3
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          12               1         1           1     1     21     1800     60.5143          1.192e-06     52.4326  1489   6.1619     1              1    0.0434047     0.045565           12          2944             0    1451        0.597519         3.96761             413857           401339       0             3             0     4
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          12               1         1           1     1     21     1800     60.5912          1.546e-06     52.2633  1475  5.05912     1              1    0.0434353    0.0455744           12          2917             0    1439        0.591383         3.96803             410241           397833       0             3             0     5
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          13               1         1           1     1     21     1800     60.4312          1.067e-06     52.1931  1495  5.01634     1              1    0.0433834    0.0455129           12          2949             0    1449        0.589372         3.97792             413504           401029       0             3             0     6
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          12               1         1           1     1     21     1800     60.3182          1.148e-06       51.92  1475  5.99812     1              1     0.043374    0.0454311           12          2926             0    1447        0.569454         3.97443             412998           400563       0             3             0     7
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          13               1         1           1     1     21     1800     60.2462           9.17e-07     52.0712  1487  6.62062     1              1    0.0432724    0.0453812           12          2937             0    1444         0.58518         3.97784             413146           400717       0             3             0     8
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          13               1         1           1     1     21     1800     60.9538          1.611e-06     51.7432  1489  5.05888     1              1    0.0438063    0.0459605           12          2955             0    1460        0.590411         3.99247             412698           400148       0             3             0     9
  rand-50-0.1-1   4     44    110   50   122            0.5                1                1               1800  200        1.08       1   12          44          13               1         1           1     1     21     1800     60.5236           9.04e-07     51.7671  1491  5.18124     1              1    0.0433738    0.0454727           12          2943             0    1447        0.581202         3.97097             413154           400680       0             3             0    10
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.7198          1.176e-06      51.241  1525  4.75908     1              1    0.0416256    0.0420775           11          3053             0    1524        0.119423         5.68832             410999           402733       0             4             0     1
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.5788           9.72e-07     50.6688  1537  5.23866     1              1    0.0416406    0.0420522           11          3077             0    1536        0.108724         5.70312             414050           405758       0             4             0     2
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.8122          1.336e-06      50.902  1522  4.27203     1              1     0.041554    0.0420308           11          3047             0    1521        0.126233         5.67127             410919           402633       0             4             0     3
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.5374           6.75e-07     50.9996  1528  4.25442     1              1    0.0414106    0.0418913           11          3059             0    1527        0.127701         5.69483             413906           405621       0             4             0     4
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.7655          1.492e-06     50.7006  1532  4.82533     1              1    0.0416009    0.0420455           11          3067             0    1531         0.11757         5.67864             413139           404823       0             4             0     5
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.2608           7.49e-07     51.6839  1524  4.72861     1              1    0.0413321    0.0417687           11          3051             0    1523        0.116218         5.70584             413556           405327       0             4             0     6
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.7637          1.555e-06     50.5972  1540  4.53357     1              1    0.0417605    0.0421725           11          3083             0    1539        0.108512         5.69331             413706           405383       0             4             0     7
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.7504           9.84e-07     50.8679  1534  4.39249     1              1     0.041608    0.0420669           11          3071             0    1533        0.121331         5.68428             413607           405283       0             4             0     8
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     43.3611          1.524e-06     50.7193  1547  5.14138     1              1     0.041984    0.0424827           11          3096             0    1546         0.13066         5.65653             413535           405083       0             4             0     9
  rand-50-0.1-2   5     50    234   50   234            0.5                1                1               1800  200        1.08       1   11          50          11               1         1           1     1     30     1800     42.5817           9.99e-07     51.0841  1509  5.42469     1              1      0.04123    0.0417346           11          3021             0    1508        0.134615         5.66379             410567           402328       0             4             0    10
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800      35.239           1.36e-06     49.5016  1502  4.21985     1              1    0.0369531    0.0376952           10          3003             0    1499        0.200801         5.78386             412260           405649       0             4             0     1
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800     35.4347            9.1e-07     49.3012  1523  4.04196     1              1    0.0372157    0.0379595           10          3042             0    1516        0.199868         5.79024             414030           407355       0             4             0     2
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800     35.3009          1.407e-06     49.6711  1497  4.88791     1              1    0.0371175    0.0378354           10          2992             0    1494         0.19344          5.7905             409101           402533       0             4             0     3
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800       35.21          1.398e-06     49.4988  1516  4.67855     1              1    0.0371757    0.0378534           10          3031             0    1514        0.182299         5.80185             413904           407282       0             4             0     4
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800     35.5514          1.559e-06     49.8507  1583  4.23597     1              1    0.0374815    0.0381287           10          3165             0    1581        0.172676         5.77736             428774           421835       0             4             0     5
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800     35.0379           8.92e-07      48.446  1584  3.90105     1              1    0.0369944    0.0377053           10          3169             0    1582        0.192162         5.80025             434570           427632       0             4             0     6
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800     35.3161          1.992e-06     49.0699  1540  5.21831     1              1    0.0370226    0.0377225           10          3076             0    1534        0.189048         5.77053             421110           414342       0             4             0     7
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800     35.3382          1.269e-06     49.0118  1536  3.82544     1              1    0.0371605    0.0378513           10          3071             0    1533         0.18591         5.78474             419299           412562       0             4             0     8
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800     35.5046          1.646e-06     48.3061  1627  4.23175     1              1     0.037444    0.0381353           10          3254             0    1625        0.184615         5.78954             441113           433981       0             4             0     9
  rand-50-0.1-3   5     48    233   50   238            0.5                1                1               1800  200        1.08       1   10          48          10               1         1           1     1     25     1800     35.3431           8.74e-07     46.4506  1550   4.4108     1              1    0.0370719    0.0377693           10          3099             0    1547        0.188106         5.77763             424110           417297       0             4             0    10
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800     57.4933           1.61e-06     52.0082  1511  6.40333     1              1    0.0405744    0.0431243           12          2887             0    1371        0.754194         3.97885             417521           405502       0             3             0     1
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800     57.0861           9.08e-07     52.1001  1509  7.18274     1              1    0.0402732    0.0428441           12          2882             0    1368        0.766082         3.98538             419641           407641       0             3             0     2
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800        57.4           1.15e-06     52.8251  1550  4.24765     1              1    0.0404736    0.0430841           12          2954             0    1398        0.773963         3.97997             426774           414492       0             3             0     3
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800     57.3869           7.89e-07     46.0284  1575  4.48393     1              1    0.0405173    0.0430746           12          3002             0    1422        0.757384         3.98312             433630           421153       0             3             0     4
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800       56.76           1.48e-06     52.1421  1527  6.91109     1              1    0.0400649    0.0425669           12          2897             0    1365        0.749451         3.97949             420821           408862       0             3             0     5
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800     55.9599          1.154e-06     52.0853  1512  6.43696     1              1    0.0394686    0.0419395           12          2856             0    1339        0.751307          3.9761             418872           407134       0             3             0     6
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800     56.9982          1.556e-06      54.311  1569   4.1153     1              1    0.0401978    0.0427642           12          2986             0    1411        0.766123         3.98228             433599           421217       0             3             0     7
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800      56.462          1.309e-06     50.2411  1532  4.86882     1              1    0.0397915    0.0422959           12          2898             0    1361        0.755327         3.97575             422402           410465       0             3             0     8
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          13               1         1           1     1     22     1800     57.2892          1.331e-06     52.1603  1512    6.622     1              1    0.0402961    0.0428981           12          2886             0    1368        0.774854         3.97076             419416           407384       0             3             0     9
  rand-50-0.1-4   4     43    110   50   122            0.5                1                1               1800  200        1.08       1   12          43          12               1         1           1     1     22     1800     56.7714           8.22e-07     52.7628  1513  5.92406     1              1    0.0399816    0.0425996           12          2866             0    1349        0.785767         3.98666             416744           404886       0             3             0    10
  rand-50-0.1-5   4     47    117   50   122            0.5                1                1               1800  200        1.08       1   14          47          16               1         1           1     1     24     1800     81.3972          1.856e-06     57.0688  1485   5.0202     1              1    0.0488234    0.0572055           15          2911             0    1421         2.40464         3.78395             425579           407653       0             3             0     1
