       instance    k      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit  do_exact    ss  chroma_k_early  chroma_k  crit    edges  num_perturb  repl       time  time_confirm   time_color  calls_to_coloring  heu_mistakes  avg_perturb_str      ttb  itb  num_flips  num_bt  infeas  seed
 1-Insertions_4    5     67      232            0.5                1                1               1800         0    67               0         1     1      232          170     0       1800       1.69988      1799.77              10240             0          1.04734   1.5013    1       9978       0       0     8
 1-Insertions_4    5     67      232            0.5                1                1               1800         0    67               0         1     1      232          139     0       1800       1.70943      1799.77              10263             0         0.971014  1.50175    1      10050       0       0     9
 1-Insertions_4    5     67      232            0.5                1                1               1800         0    67               0         1     1      232          165     0       1800       2.46671      1799.76              10239             0           1.0122  1.50275    1      10146       0       0    10
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   200               0         0     0     1215           41     0       1800          1800      1798.53              10492             0            0.875  217.819    4       9918      68       0     1
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   199               0         0     0     1212           49     0       1800          1800      1798.54              10482             0          1.02083   1080.4   32      10005      90       0     2
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   199               0         0     0     1212           32     0       1800          1800      1798.54              10491             0         0.645161   1597.6   31       9892      73       0     3
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   200               0         0     0     1217           44     0       1800          1800      1798.53              10484             0         0.883721  428.436   10       9954      77       0     4
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   200               0         0     0     1217           36     0       1800          1800      1798.53              10490             0         0.914286  107.354    2       9909      65       0     5
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   199               0         0     0     1211           54     0       1800          1800      1798.55              10478             0          0.90566  538.971   15       9998      83       0     6
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   200               0         0     0     1217           42     0       1800          1800      1798.55              10475             0          1.07317   213.23    3       9963      75       0     7
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   199               0         0     0     1212           29     0       1800          1800      1798.53              10495             0             0.75  1700.48   29       9893      76       0     8
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   199               0         0     0     1212           75     0       1800          1800      1798.53              10444             0          1.16216  2.50459    1      10130      92       0     9
 1-Insertions_5    6    202     1227            0.5                1                1               1800         0   200               0         0     0     1217           42     0       1800          1800      1798.53              10472             0         0.926829  5.05438    1       9949      71       0    10
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   600               0         0     0     6277           11     0       1800          1800      1784.07               9808             0                1  793.406    6       7978     414       0     1
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   600               0         0     0     6294           13     0       1800          1800      1784.09               9802             0             0.75  386.926    3       8005     424       0     2
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   600               0         0     0     6294            8     0       1800          1800      1784.04               9818             0         0.857143  5.07297    1       7911     377       0     3
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   600               0         0     0     6293           12     0       1800          1800      1783.98               9802             0                1  7.73744    1       7923     393       0     4
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   600               0         0     0     6293            9     0       1800          1800         1784               9810             0            0.625  1141.56    8       7975     408       0     5
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   602               0         0     0     6305           10     0       1800          1800      1784.03               9836             0         0.777778  6.90403    1       7971     427       0     6
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   598               0         0     0     6278           13     0       1800          1800      1783.97               9816             0         0.916667  1129.39   12       7906     373       0     7
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   601               0         0     0     6298           16     0       1800          1800      1784.02               9815             0          1.26667    12.29    1       8014     420       0     8
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   600               0         0     0     6293           14     0       1800          1800      1783.97               9806             0          1.07692   7.1943    1       7981     392       0     9
 1-Insertions_6    7    607     6337            0.5                1                1               1800         0   600               0         0     0     6293           15     0       1800          1800      1784.07               9823             0         0.928571   1524.3   15       7990     427       0    10
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           91     0       1800     0.0128556      1799.96               7287             0          1.12222  22.5036    1       7172       0       0     1
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           90     0       1800     0.0125331      1799.96               7276             0          1.02247  22.5036    1       7117       0       0     2
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           92     0       1800       0.01258      1799.96               7283             0          1.03297  22.5034    1       7180       0       0     3
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22          100     0       1800     0.0120776      1799.96               7298             0         0.909091  22.5039    1       7264       0       0     4
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           93     0       1800     0.0125835      1799.96               7286             0          1.03261  22.5036    1       7210       0       0     5
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           93     0       1800     0.0121872      1799.96               7288             0          1.06522  22.5038    1       7187       0       0     6
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           95     0       1800     0.0122743      1799.96               7294             0          1.03191  22.5037    1       7211       0       0     7
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           95     0       1800     0.0121489      1799.96               7284             0         0.925532  22.5034    1       7181       0       0     8
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           95     0       1800      0.012335      1799.96               7291             0                1   22.504    1       7202       0       0     9
    2-FullIns_3    5     52      201            0.5                1                1               1800         0     9               0         1     1       22           92     0       1800     0.0121577      1799.96               7283             0          1.03297  22.5034    1       7180       0       0    10
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           27     0       1800     0.0215569       1799.7               7142             0         0.846154  102.084    1       7153       0       0     1
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           24     0       1800     0.0216201       1799.7               7112             0          1.08696  102.079    1       6947       0       0     2
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           24     0       1800     0.0215955       1799.7               7101             0          1.17391  102.071    1       7246       0       0     3
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           24     0       1800     0.0214366       1799.7               7110             0                1  102.075    1       6953       0       0     4
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           19     0       1800     0.0215051      1799.69               7045             0          1.33333  102.082    1       6996       0       0     5
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           23     0       1800     0.0214607      1799.69               7087             0          1.04545  102.086    1       7219       0       0     6
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           25     0       1800     0.0216564       1799.7               7125             0            1.125  102.081    1       7050       0       0     7
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           22     0       1800     0.0219686      1799.69               7077             0          1.14286  102.086    1       7133       0       0     8
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           26     0       1800     0.0222494      1799.68               7129             0             0.84  102.076    1       7039       0       0     9
    2-FullIns_4    6    212     1621            0.5                1                1               1800         0    19               0         1     1       75           22     0       1800      0.023169      1799.69               7077             0          1.09524  102.085    1       7172       0       0    10
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            7     0       1800     0.0543759      1793.82               6462             0                1  423.455    1       6800       0       0     1
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            7     0    1800.01     0.0549106      1793.91               6461             0         0.833333  423.447    1       6829       0       0     2
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            8     0    1800.01     0.0553835      1793.99               6491             0         0.857143   423.47    1       6947       0       0     3
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            7     0       1800     0.0579389      1793.44               6430             0                1  423.457    1       5759       0       0     4
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244           10     0       1800     0.0561435      1793.73               6549             0         0.666667   423.52    1       6111       0       0     5
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            5     0       1800     0.0557099      1793.69               6400             0             1.75  423.444    1       6559       0       0     6
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            7     0    1800.01     0.0561872      1793.91               6462             0                1   423.44    1       6832       0       0     7
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            7     0       1800     0.0559139      1793.71               6462             0          1.16667  423.503    1       6769       0       0     8
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            6     0       1800     0.0540806      1793.59               6399             0                1  423.409    1       6825       0       0     9
    2-FullIns_5    7    852    12201            0.5                1                1               1800         0    39               0         1     1      244            9     0       1800     0.0544569      1793.95               6519             0            0.875  423.466    1       5855       0       0    10
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          251     0       1800     0.0486333      1799.91               9975             0            1.032  1.50064    1       9765       0       0     1
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          260     0       1800     0.0386288      1799.91               9973             0          1.01158  1.50036    1       9738       0       0     2
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          260     0       1800     0.0453373      1799.91               9966             0         0.969112  1.50039    1       9744       0       0     3
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          251     0       1800      0.041324      1799.91               9975             0            0.988  1.50038    1       9732       0       0     4
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          260     0       1800     0.0428202      1799.91               9973             0          1.01158  1.50044    1       9736       0       0     5
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          291     0       1800     0.0446325      1799.91               9949             0          1.02069  1.50031    1       9657       0       0     6
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          218     0       1800      0.042066      1799.91               9991             0         0.870968  1.50044    1       9852       0       0     7
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          265     0       1800     0.0402303      1799.91               9968             0          1.08333   1.5004    1       9738       0       0     8
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          283     0       1800     0.0430828      1799.91               9957             0          1.03901  1.50037    1       9648       0       0     9
 2-Insertions_3    4     37       72            0.5                1                1               1800         0    37               0         1     1       72          238     0       1800     0.0442988      1799.91               9981             0         0.970464  1.50035    1       9792       0       0    10
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           61     0       1800       27.0026      1799.07              10515             0             0.95  1.50284    1      10451       1       0     1
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           59     0       1800       27.5266      1799.08              10514             0         0.844828  1.50461    1      10428       0       0     2
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           57     0       1800       31.8402      1799.07              10518             0            0.875    1.505    1      10428       0       0     3
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           65     0       1800       23.3444      1799.08              10510             0          1.03125    1.505    1      10479       0       0     4
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           90     0       1800       27.9028      1799.08              10490             0           1.1573  1.50706    1      10143       0       0     5
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           82     0       1800       23.8463      1799.08              10498             0         0.962963   1.5064    1      10068       0       0     6
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           89     0       1800       25.0741      1799.08              10494             0          1.15909  1.50645    1      10140       0       0     7
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           49     0       1800       26.6272      1799.09              10529             0           0.8125  1.50749    1      10398       0       0     8
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           74     0       1800        24.399      1799.08              10509             0         0.958904  1.50347    1      10044       0       0     9
 2-Insertions_4    5    149      541            0.5                1                1               1800         0   149               0         1     1      541           78     0       1800       26.3454      1799.08              10505             0          1.03896  1.50535    1      10074       0       0    10
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   592               0         0     0     3911           19     0       1800          1800      1784.17              10037             0          1.05556  4.07042    1       9371     213       0     1
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   592               0         0     0     3911           13     0       1800          1800      1784.17              10031             0         0.916667  1697.49   13       9320     197       0     2
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   593               0         0     0     3916           16     0       1800          1800      1784.09              10033             0                1  5.69066    1       9327     190       0     3
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   592               0         0     0     3910            8     0       1800          1800      1784.14              10033             0         0.714286  7.91187    1       9311     199       0     4
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   591               0         0     0     3906           17     0       1800          1800      1784.14              10022             0             1.25  679.916    5       9371     215       0     5
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   592               0         0     0     3911           13     0       1800          1800      1784.18              10023             0         0.666667   1018.8    5       9339     207       0     6
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   592               0         0     0     3910           10     0       1800          1800      1784.22              10034             0         0.555556  1025.45    8       9329     206       0     7
 2-Insertions_5    6    597     3936            0.5                1                1               1800         0   592               0         0     0     3911           12     0       1800          1800      1784.09              10041             0          1.09091  3.52396    1       9358     216       0     8
