
       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time        time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff            ss_fin_avg            ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          20               1         1           1     1       43    7.589197054    0.132685506              5.5e-08           5.78e-07       0.2072831679999999     2    7.589177286    1              1  0.012626262626262626  0.016835016835016835           20             7             0       1               5               5               1203             1188       0             3             0     8
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          22               1         1           1     1       43    9.716633935    0.140936681             1.61e-07           1.58e-07       0.3039381610000002     2    9.716614512    1              1  0.012106537530266344   0.01775625504439064           22             7             0       1               7               5               1256             1239       0             3             0     9
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       1    15          93          18               1         1           1     1       43   10.440255753    0.073365676              5.3e-08           3.63e-07      0.33505907899999976     2   10.440243414    1              1                 0.012                0.0144           18             7             0       1               3               5               1263             1250       0             3             0    10
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144   17.665884942    0.385402522              5.4e-08           1.98e-07       1.0361580639999997     2   17.665876612    1              1   0.01456766917293233   0.02819548872180451           60            11             0       1              29               5               2183             2128       0             3             0     1
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          58               1         1           1     1      144   15.463907525    1.007708436             6.64e-07           3.74e-07       1.2716030709999988     2   15.463888405    1              1  0.018397626112759646  0.034421364985163204           58            10             0       1              27               6               1737             1685       0             3             0     2
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144   12.157808051    1.042321922             2.34e-07            8.7e-08              1.169262565     2   12.157798096    1              1   0.02329075882794891  0.045078888054094664           60            11             0       1              29               5               1386             1331       0             3             0     3
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          59               1         1           1     1      144   16.171476253    0.601550783             1.54e-07           3.19e-07       1.1939588570000013     2   16.171463779    1              1   0.01631578947368421   0.03105263157894737           59            11             0       1              28               5               1954             1900       0             3             0     4
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144   11.258819036    0.439407938              5.3e-08           3.48e-07       0.7936830610000004     2   11.258807164    1              1  0.023628048780487805   0.04573170731707317           60            11             0       1              29               4               1368             1312       0             3             0     5
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          61               1         1           1     1      144   10.938218084    0.588684398             1.81e-07           5.29e-07       0.7526399469999997     2   10.938203094    1              1  0.021291208791208792   0.04189560439560439           61            12             0       1              30               5               1512             1456       0             3             0     6
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          54               1         1           1     1      144   15.731679514    0.819441549             2.47e-07           7.64e-07       1.2197261079999988     2   15.731660966    1              1   0.01619644723092999   0.02821316614420063           54            11             0       1              23               5               1963             1914       0             3             0     7
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          59               1         1           1     1      144    18.29420553    1.038701696              7.1e-08           2.14e-07        1.675766797999999     2   18.294190007    1              1  0.014438751746623195  0.027480204937121566           59            11             0       1              28               5               2201             2147       0             3             0     8
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          59               1         1           1     1      144   15.002983178    0.437272004             2.97e-07           6.59e-07       0.8460874819999987     2    15.00296811    1              1  0.015407554671968192  0.029324055666003976           59            11             0       1              28               5               2066             2012       0             3             0     9
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       1    31         282          60               1         1           1     1      144   17.808136892    0.606138438              8.6e-08           2.57e-07       1.2037403300000002     2     17.8081229    1              1   0.01430549146285187   0.02768804799261652           60            11             0       1              29               5               2222             2167       0             3             0    10
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232    17.59969645              0              5.5e-08        4.184016474       3.4318914010000094     1              0    0              0                     0                     0           67            11             0       0              NA              NA               2200             2200       0             2             0     1
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232    20.70082687              0             2.11e-07        1.871510656        5.518950266999997     1              0    0              0                     0                     0           67            11             0       0              NA              NA               2200             2200       0             2             0     2
 1-Insertions_4    5     67      232     67      232            0.5                1                1                300  200        1.08       1    67          67          67               1         1           0     1      232   20.267172668              0                7e-08        4.553429999       6.2078848830000055     1              0    0              0                     0                     0           67            11             0       0              NA              NA               2200             2200       0             2             0     3
