       instance    k  n_red    m_red      n        m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu    ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit    edges           time             time_pp  time_confirm_chroma  time_confirm_crit               time_color  iter            ttb  itb  max_iter_diff              ss_fin_avg              ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp         avg_pp_reduced        avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       0    15          93          20               1         1           1     1       43    300.0040562  15.289679857000008             1.02e-07            8.5e-08       12.454531336000015   128   11.610491919    1              1     0.04915290816877091     0.06890039926621344           20           253             0     121      6.049586776859504     4.925619834710743              39004            37068       0             3             0     7
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       0    15          93          20               1         1           1     1       43  300.003446294  13.479917717000001              5.3e-08           1.18e-07       12.632849709000032   142   11.291592582    1              1    0.042081919469901405     0.05912843669009004           19           252             0     105      6.076190476190476     4.914285714285715              39124            37427       0             3             0     8
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       0    15          93          22               1         1           1     1       43  300.000349884  16.229896904000007             1.97e-07           3.64e-07       12.497521602999985   129   11.545225549    1              1     0.05113758895837826     0.07175975846452448           20           261             0     126      6.071428571428571    4.9523809523809526              39112            37096       0             3             0     9
    1-FullIns_4    5     93      593     93      593            0.5                1                1                300  200        1.08       0    15          93          21               1         1           1     1       43  300.000596595        16.361915672              5.9e-08            6.4e-08       12.607265604999995   131   11.473887589    1              1     0.05105393924821672     0.07165183938446743           20           264             0     127      6.070866141732283     4.889763779527559              39471            37431       0             3             0    10
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          58               1         1           1     1      144  300.000808515   76.44852149900001             1.19e-07            7.2e-08        63.33299609199994    78   18.322897175    1              1      0.1053113154110932     0.20042699664502636           58           164             0      77     28.350649350649352     5.103896103896104              27097            22951       0             3             0     1
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          60               1         1           1     1      144   300.00192639        71.590041641              5.8e-08           3.51e-07        56.46287309899965   104   19.234259383    1              1     0.10336754329698525      0.1974021808851828           58           219             0     103     28.466019417475728     5.106796116504855              36748            31180       0             3             0     2
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          58               1         1           1     1      144  300.005529552   75.36147957200001             5.16e-07            9.2e-08       58.189614791000395   108   17.177996222    1              1     0.10730095592480914     0.20462564957977802           57           226             0     107      28.35514018691589                     5              36959            31174       0             3             0     3
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          60               1         1           1     1      144   300.00050727        72.259705067             1.97e-07            7.6e-08         56.4576515380002   106   20.197895098    1              1     0.10473123764585858     0.19973857042657656           58           223             0     105      28.38095238095238                     5              37045            31366       0             3             0     4
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          59               1         1           1     1      144  300.002063484        73.305093859             1.34e-07            9.2e-08        57.37362235100031   106   18.706847404    1              1     0.10578874464452534     0.20242888896047417           58           223             0     105     28.571428571428573     4.904761904761905              36752            31043       0             3             0     5
    1-FullIns_5    6    282     3247    282     3247            0.5                1                1                300  200        1.08       0    31         282          59               1         1           1     1      144  300.000197238        71.415405745              5.5e-08            8.4e-08        56.29542612599982   104   18.490609535    1              1     0.10173728679472169     0.19426600424037213           58           218             0     103     28.388349514563107     5.038834951456311              37174            31601       0             3             0     6
